Title,URL,Description,Regulation Number,Sector,Sub Sector,Regulation Type,Year,status
"Pelaksanaan Kegiatan Penawaran Umum Efek Bersifat Ekuitas, Efek Bersifat Utang, dan/atau Sukuk Secara Elektronik","/id/regulasi/Pages/Pelaksanaan-Kegiatan-Penawaran-Umum-Efek-Bersifat-Ekuitas,-Efek-Bersifat-Utang,-dan-atau-Sukuk-Secara-Elektronik.aspx","POJK tentang Pelaksanaan Kegiatan Penawaran Umum Efek Bersifat Ekuitas, Efek Bersifat Utang, dan/atau Sukuk Secara Elektronik.",41 /POJK.04/2020,Pasar Modal,"Bursa Efek, Perusahaan Efek",Peraturan OJK,2020,Success
Transparansi dan Publikasi Laporan Bank Umum Syariah dan Unit Usaha Syariah,/id/regulasi/Pages/Transparansi-dan-Publikasi-Laporan-Bank-Umum-Syariah-dan-Unit-Usaha-Syariah.aspx,SEOJK tentang Transparansi dan Publikasi Laporan Bank Umum Syariah dan Unit Usaha Syariah.,10/SEOJK.03/2020,Perbankan,"Bank Umum, Perbankan Syariah",Surat Edaran OJK,2020,Success
Rencana Bisnis Perusahaan Modal Ventura dan Perusahaan Modal Ventura Syariah,/id/regulasi/Pages/Rencana-Bisnis-Perusahaan-Modal-Ventura-dan-Perusahaan-Modal-Ventura-Syariah.aspx,SEOJK tentang Rencana Bisnis Perusahaan Modal Ventura dan Perusahaan Modal Ventura Syariah.,13 /SEOJK.05/2020,IKNB,Lembaga Pembiayaan,Surat Edaran OJK,2020,Success
Rencana Bisnis Perusahaan Pembiayaan Sekunder Perumahan,/id/regulasi/Pages/Rencana-Bisnis-Perusahaan-Pembiayaan-Sekunder-Perumahan.aspx,SEOJK tentang Rencana Bisnis Perusahaan Pembiayaan Sekunder Perumahan.,12 /SEOJK.05/2020,IKNB,Lembaga Pembiayaan,Surat Edaran OJK,2020,Success
Penilaian Tingkat Kesehatan Perusahaan Pembiayaan dan Perusahaan Pembiayaan Syariah,/id/regulasi/Pages/Penilaian-Tingkat-Kesehatan-Perusahaan-Pembiayaan-dan-Perusahaan-Pembiayaan-Syariah.aspx,SEOJK tentang Penilaian Tingkat Kesehatan Perusahaan Pembiayaan dan Perusahaan Pembiayaan Syariah.,11 /SEOJK.05/2020,IKNB,Lembaga Pembiayaan,Surat Edaran OJK,2020,Success
Transparansi dan Publikasi Laporan Bank Umum Konvensional,/id/regulasi/Pages/Transparansi-dan-Publikasi-Laporan-Bank-Umum-Konvensional.aspx,SEOJK tentang Transparansi dan Publikasi Laporan Bank Umum Konvensional.,9 /SEOJK.03/2020,Perbankan,Bank Umum,Surat Edaran OJK,2020,Success
Perintah Tertulis untuk Penanganan Permasalahan Lembaga Jasa Keuangan Nonbank,/id/regulasi/Pages/Perintah-Tertulis-untuk-Penanganan-Permasalahan-Lembaga-Jasa-Keuangan-Nonbank.aspx,POJK tentang Perintah Tertulis untuk Penanganan Permasalahan Lembaga Jasa Keuangan Nonbank.,40 /POJK.05/2020,IKNB,"IKNB Syariah, Asuransi",Peraturan OJK,2020,Success
Perubahan Kedua Atas Peraturan Otoritas Jasa Keuangan Nomor 14/POJK.05/2015 tentang Retensi Sendiri dan Dukungan Reasuransi dalam Negeri,/id/regulasi/Pages/Perubahan-Kedua-Atas-Peraturan-Otoritas-Jasa-Keuangan-Nomor-14-tentang-Retensi-Sendiri-dan-Dukungan-Reasuransi.aspx,POJK tentang Perubahan Kedua Atas Peraturan Otoritas Jasa Keuangan Nomor 14/POJK.05/2015 tentang Retensi Sendiri dan Dukungan Reasuransi dalam Negeri.,39/POJK.05/2020,IKNB,Asuransi,Peraturan OJK,2020,Success
"Perubahan Atas Peraturan Otoritas Jasa Keuangan Nomor 69/POJK.05/2016 tentang Penyelenggaraan Usaha Perusahaan Asuransi, Perusahaan Asuransi Syariah, Perusahaan Reasuransi, dan Perusahaan Reasuransi Syariah",/id/regulasi/Pages/Perubahan-Atas-Peraturan-Otoritas-Jasa-Keuangan-Nomor-69-tentang-Penyelenggaraan-Usaha-Perusahaan-Asuransi.aspx,"POJK tentang Perubahan Atas Peraturan Otoritas Jasa Keuangan Nomor 69/POJK.05/2016 tentang Penyelenggaraan Usaha Perusahaan Asuransi, Perusahaan Asuransi Syariah, Perusahaan Reasuransi, dan Perusahaan Reasuransi Syariah.",38/POJK.05/2020,IKNB,"IKNB Syariah, Asuransi",Peraturan OJK,2020,Success
Tata Cara Pengecualian Pemenuhan Prinsip Keterbukaan bagi Emiten atau Perusahaan Publik yang Merupakan Lembaga Jasa Keuangan dalam Rangka Pencegahan dan Penanganan Krisis Sistem Keuangan,/id/regulasi/Pages/Tata-Cara-Pengecualian-Pemenuhan-Prinsip-Keterbukaan-bagi-Emiten-.aspx,POJK tentang Tata Cara Pengecualian Pemenuhan Prinsip Keterbukaan bagi Emiten atau Perusahaan Publik yang Merupakan Lembaga Jasa Keuangan dalam Rangka Pencegahan dan Penanganan Krisis Sistem Keuangan.,37 /POJK.04/2020,Pasar Modal,Emiten dan Perusahaan Publik,Peraturan OJK,2020,Success
Perubahan Ketiga Atas Peraturan Otoritas Jasa Keuangan Nomor 4/POJK.04/2014 tentang Tata Cara Penagihan Sanksi Administratif Berupa Denda di Sektor Jasa Keuangan,/id/regulasi/Pages/Perubahan-Ketiga-Atas-Peraturan-Otoritas-Jasa-Keuangan-Nomor-4-tentang-Tata-Cara-Penagihan-Sanksi-Administri.aspx,POJK tentang Perubahan Ketiga Atas Peraturan Otoritas Jasa Keuangan Nomor 4/POJK.04/2014 tentang Tata Cara Penagihan Sanksi Administratif Berupa Denda di Sektor Jasa Keuangan.,36 /POJK.02/2020,"Perbankan, Pasar Modal, IKNB","Sanksi, Peraturan Lainnya",Peraturan OJK,2020,Success
Penyusunan Laporan Keuangan Produk Investasi Berbentuk Kontrak Investasi Kolektif,/id/regulasi/Pages/Penyusunan-Laporan-Keuangan-Produk-Investasi-Berbentuk-Kontrak-Investasi-Kolektif.aspx,​Peraturan Otoritas Jasa Keuangan Nomor 33/POJK.04/2020 tentang Penyusunan Laporan Keuangan Produk Investasi Berbentuk Kontrak Investasi Kolektif.,33/POJK.04/2020,Pasar Modal,"Penasehat Investasi, Profesi Penunjang Pasar Modal",Peraturan OJK,2020,Success
Kebijakan bagi Bank Perkreditan Rakyat dan Bank Pembiayaan Rakyat Syariah Sebagai Dampak Penyebaran Coronavirus Disease 2019,/id/regulasi/Pages/Kebijakan-bagi-Bank-Perkreditan-Rakyat-dan-Bank-Pembiayaan-Rakyat-Syariah-Sebagai-Dampak-Penyebaran-Coronavirus-.aspx,POJK tentang Kebijakan bagi Bank Perkreditan Rakyat dan Bank Pembiayaan Rakyat Syariah Sebagai Dampak Penyebaran Coronavirus Disease 2019.,34/POJK.03/2020,Perbankan,BPR,Peraturan OJK,2020,Success
Perubahan Atas Surat Edaran Otoritas Jasa Keuangan Nomor 4/SEOJK.05/2016 tentang Laporan Bulanan Perusahaan Pembiayaan Syariah dan Unit Usaha Syariah dari Perusahaan Pembiayaan,/id/regulasi/Pages/Perubahan-Atas-Surat-Edaran-Otoritas-Jasa-Keuangan-Nomor-4SEOJK.052016-tentang-Laporan-Bulanan-Perusahaan-Pembiayaan-Syar.aspx,​Surat Edaran Otoritas Jasa Keuangan Nomor 27/SEOJK.05/2019 tentang Perubahan Atas Surat Edaran Otoritas Jasa Keuangan Nomor 4/SEOJK.05/2016 tentang Laporan Bulanan Perusahaan Pembiayaan Syariah dan Unit Usaha Syariah dari Perusahaan Pembiayaan.,27/SEOJK.05/2019,IKNB,"Lembaga Pembiayaan, Peraturan Lainnya",Surat Edaran OJK,2020,Success
Kontribusi Dana Jaminan Berdasarkan Nilai Transaksi,/id/regulasi/Pages/Kontribusi-Dana-Jaminan-Berdasarkan-Nilai-Transaksi.aspx,SEOJK tentang Kontribusi Dana Jaminan Berdasarkan Nilai Transaksi.,8/SEOJK.04/2020,Pasar Modal,Bursa Efek,Surat Edaran OJK,2020,Success
Perubahan Atas Surat Edaran Otoritas Jasa Keuangan Nomor 1/SEOJK.03/2017 tentang Kewajiban Penyediaan Modal Minimum dan Pemenuhan Modal Inti Minimum Bank Pembiayaan Rakyat Syariah,/id/regulasi/Pages/Perubahan-Atas-Surat-Edaran-Otoritas-Jasa-Keuangan-Nomor-1-tentang-Kewajiban-Penyediaan-Modal-Minimum-dan-Pem.aspx,SEOJK tentang Perubahan Atas Surat Edaran Otoritas Jasa Keuangan Nomor 1/SEOJK.03/2017 tentang Kewajiban Penyediaan Modal Minimum dan Pemenuhan Modal Inti Minimum Bank Pembiayaan Rakyat Syariah.,7/SEOJK.03/2020,Perbankan,"BPR, Perbankan Syariah",Surat Edaran OJK,2020,Success
Kontrak Derivatif Efek,/id/regulasi/Pages/Kontrak-Derivatif-Efek.aspx,POJK tentang Kontrak Derivatif Efek.,32 /POJK.04/2020,Pasar Modal,Bursa Efek,Peraturan OJK,2020,Success
Penyelenggaraan Layanan Konsumen dan Masyarakat di Sektor Jasa Keuangan oleh Otoritas Jasa Keuangan,/id/regulasi/Pages/Penyelenggaraan-Layanan-Konsumen-dan-Masyarakat-di-Sektor-Jasa-Keuangan-Oleh-Otoritas-Jasa-Keuangan.aspx,POJK tentang Penyelenggaraan Layanan Konsumen dan Masyarakat di Sektor Jasa Keuangan oleh Otoritas Jasa Keuangan.,31/POJK.07/2020,EPK,Peraturan Lainnya,Peraturan OJK,2020,Success
Perubahan Kedua Atas Peraturan Otoritas Jasa Keuangan Nomor 11/POJK.05/2014 tentang Pemeriksaan Langsung Lembaga Jasa Keuangan Nonbank ,/id/regulasi/Pages/Perubahan-Kedua-Atas-Peraturan-Otoritas-Jasa-Keuangan-Nomor-11-tentang-Pemeriksaan-Langsung-Lembaga-Jasa-Keuan.aspx,POJK tentang Perubahan Kedua Atas Peraturan Otoritas Jasa Keuangan Nomor 11/POJK.05/2014 tentang Pemeriksaan Langsung Lembaga Jasa Keuangan Nonbank.,30/POJK.05/2020,IKNB,Peraturan Lainnya,Peraturan OJK,2020,Success
Perubahan Atas Peraturan Otoritas Jasa Keuangan Nomor 30/POJK.05/2014 tentang Tata Kelola Perusahaan yang Baik Bagi Perusahaan Pembiayaan ,/id/regulasi/Pages/Perubahan-Atas-Peraturan-Otoritas-Jasa-Keuangan-Nomor-30-tentang-Tata-Kelola-Perusahaan-yang-Baik-Bagi-Perusah.aspx,POJK tentang Perubahan Atas Peraturan Otoritas Jasa Keuangan Nomor 30/POJK.05/2014 tentang Tata Kelola Perusahaan yang Baik Bagi Perusahaan Pembiayaan.,29/POJK.05/2020,IKNB,Lembaga Pembiayaan,Peraturan OJK,2020,Success
Penilaian Tingkat Kesehatan Lembaga Jasa Keuangan Nonbank,/id/regulasi/Pages/Penilaian-Tingkat-Kesehatan-Lembaga-Jasa-Keuangan-Nonbank.aspx,POJK tentang Penilaian Tingkat Kesehatan Lembaga Jasa Keuangan Nonbank.,28/POJK.05/2020,IKNB,Peraturan Lainnya,Peraturan OJK,2020,Success
Perhitungan Aset Tertimbang Menurut Risiko untuk Risiko Operasional dengan Menggunakan Pendekatan Standar Bagi Bank Umum ,/id/regulasi/Pages/Perhitungan-Aset-Tertimbang-Menurut-Risiko-untuk-Risiko-Operasional-dengan-Menggunakan-Pendekatan-Standar-Bagi-Bank-Umum-.aspx,SEOJK tentang Perhitungan Aset Tertimbang Menurut Risiko untuk Risiko Operasional dengan Menggunakan Pendekatan Standar Bagi Bank Umum.,6/SEOJK.03/2020,Perbankan,Bank Umum,Surat Edaran OJK,2020,Success
Perubahan Atas Surat Edaran Otoritas Jasa Keuangan Nomor 56/SEOJK.03/2017 tentang Penetapan Status dan Tindak Lanjut Pengawasan Bank Perkreditan Rakyat dan Bank Pembiayaan Rakyat Syariah,/id/regulasi/Pages/Perubahan-SEOJK-tentang-Penetapan-Status-dan-Tindak-Lanjut-Pengawasan-BPR-dan-BPRS.aspx,SEOJK tentang tentang Perubahan Atas Surat Edaran Otoritas Jasa Keuangan Nomor 56/SEOJK.03/2017 tentang Penetapan Status dan Tindak Lanjut Pengawasan Bank Perkreditan Rakyat dan Bank Pembiayaan Rakyat Syariah.,5/SEOJK.03/2020,Perbankan,BPR,Surat Edaran OJK,2020,Success
Pedoman Penyusunan Surat Pernyataan Manajemen dalam Bidang Akuntansi ,/id/regulasi/Pages/Pedoman-Penyusunan-Surat-Pernyataan-Manajemen--dalam-Bidang-Akuntansi-.aspx,POJK tentang Pedoman Penyusunan Surat Pernyataan Manajemen  dalam Bidang Akuntansi.,24 /POJK.04/2020,Pasar Modal,Emiten dan Perusahaan Publik,Peraturan OJK,2020,Success
Tata Cara Penyusunan Serta Pengajuan Rencana Anggaran dan Penggunaan Laba Lembaga Kliring dan Penjaminan,/id/regulasi/Pages/Tata-Cara-Penyusunan-Serta-Pengajuan-Rencana-Anggaran-dan-Penggunaan-Laba-Lembaga-Kliring-dan-Penjaminan.aspx,POJK tentang Tata Cara Penyusunan Serta Pengajuan Rencana Anggaran dan Penggunaan Laba Lembaga Kliring dan Penjaminan.,23 /POJK.04/2020,Pasar Modal,Lembaga Kliring dan Penjaminan,Peraturan OJK,2020,Success
Tata Cara Penyusunan Serta Pengajuan Rencana Anggaran dan Penggunaan Laba Lembaga Penyimpanan dan Penyelesaian,/id/regulasi/Pages/Tata-Cara-Penyusunan-Serta-Pengajuan-Rencana-Anggaran-dan-Penggunaan-Laba-Lembaga-Penyimpanan-dan-Penyelesaian.aspx,POJK tentang Tata Cara Penyusunan Serta Pengajuan Rencana Anggaran dan Penggunaan Laba Lembaga Penyimpanan dan Penyelesaian.,22 /POJK.04/2020,Pasar Modal,Lembaga Penyimpanan dan Penyelesaian,Peraturan OJK,2020,Success
Tata Cara Penyusunan Serta Pengajuan Rencana Anggaran dan Penggunaan Laba Bursa Efek ,/id/regulasi/Pages/Tata-Cara-Penyusunan-Serta-Pengajuan-Rencana-Anggaran-dan-Penggunaan-Laba-Bursa-Efek--.aspx,POJK tentang Tata Cara Penyusunan Serta Pengajuan Rencana Anggaran dan Penggunaan Laba Bursa Efek.,21 /POJK.04/2020,Pasar Modal,Bursa Efek,Peraturan OJK,2020,Success
Kontrak Perwaliamanatan Efek Bersifat Utang dan/atau Sukuk ,/id/regulasi/Pages/Kontrak-Perwaliamanatan-Efek-Bersifat-Utang-dan-atau-Sukuk--.aspx,POJK tentang Kontrak Perwaliamanatan Efek Bersifat Utang dan/atau Sukuk.,20 /POJK.04/2020,Pasar Modal,Pasar Modal Syariah,Peraturan OJK,2020,Success
Bank Umum yang Melakukan Kegiatan Sebagai Wali Amanat,/id/regulasi/Pages/Bank-Umum-yang-Melakukan-Kegiatan-Sebagai-Wali-Amanat.aspx,POJK tentang Bank Umum yang Melakukan Kegiatan Sebagai Wali Amanat.,19 /POJK.04/2020,Pasar Modal,Pasar Modal Syariah,Peraturan OJK,2020,Success
Saham Bonus,/id/regulasi/Pages/Saham-Bonus.aspx,POJK tentang Saham Bonus.,27 /POJK.04/2020,Pasar Modal,"Lembaga Penunjang Pasar Modal, Profesi Penunjang Pasar Modal",Peraturan OJK,2020,Success
Penawaran yang Bukan Merupakan Penawaran Umum,/id/regulasi/Pages/Penawaran-yang-Bukan-Merupakan-Penawaran-Umum.aspx,POJK tentang Penawaran yang Bukan Merupakan Penawaran Umum.,26 /POJK.04/2020,Pasar Modal,Bursa Efek,Peraturan OJK,2020,Success
Pedoman Bentuk dan Isi Prospektus dalam Rangka Penawaran Umum Reksa Dana ,/id/regulasi/Pages/Pedoman-Bentuk-dan-Isi-Prospektus-dalam-Rangka-Penawaran-Umum-Reksa-Dana-.aspx,POJK tentang Pedoman Bentuk dan Isi Prospektus dalam Rangka Penawaran Umum Reksa Dana.,25 /POJK.04/2020,Pasar Modal,Reksa Dana,Peraturan OJK,2020,Success
Rencana Bisnis Lembaga Penjamin,/id/regulasi/Pages/Rencana-Bisnis-Lembaga-Penjamin.aspx,SEOJK tentang Rencana Bisnis Lembaga Penjamin.,4/SEOJK.05/2020,IKNB,Lembaga Jasa Keuangan Khusus,Surat Edaran OJK,2020,Success
Perintah Tertulis untuk Penanganan Permasalahan Bank,/id/regulasi/Pages/Perintah-Tertulis-untuk-Penanganan-Permasalahan-Bank.aspx,POJK tentang Perintah Tertulis untuk Penanganan Permasalahan Bank.,18 /POJK.03/2020,Perbankan,Bank Umum,Peraturan OJK,2020,Success
Transaksi Material dan Perubahan Kegiatan Usaha,/id/regulasi/Pages/Transaksi-Material-dan-Perubahan-Kegiatan-Usaha.aspx,POJK tentang Transaksi Material dan Perubahan Kegiatan Usaha.,17/POJK.04/2020,Pasar Modal,Bursa Efek,Peraturan OJK,2020,Success
Pelaksanaan Rapat Umum Pemegang Saham Perusahaan Terbuka Secara Elektronik ,/id/regulasi/Pages/Pelaksanaan-Rapat-Umum-Pemegang-Saham-Perusahaan-Terbuka-Secara-Elektronik--.aspx,POJK tentang Pelaksanaan Rapat Umum Pemegang Saham Perusahaan Terbuka Secara Elektronik.,16/POJK.04/2020,Pasar Modal,Bursa Efek,Peraturan OJK,2020,Success
Rencana dan Penyelenggaraan Rapat Umum Pemegang Saham Perusahaan Terbuka ,/id/regulasi/Pages/Rencana-dan-Penyelenggaraan-Rapat-Umum-Pemegang-Saham-Perusahaan-Terbuka-.aspx,POJK tentang Rencana dan Penyelenggaraan Rapat Umum Pemegang Saham Perusahaan Terbuka.,15/POJK.04/2020,Pasar Modal,Bursa Efek,Peraturan OJK,2020,Success
Kebijakan Countercyclical Dampak Penyebaran Coronavirus Disease 2019 bagi Lembaga Jasa Keuangan Nonbank,/id/regulasi/Pages/Kebijakan-Countercyclical-Dampak-Penyebaran-Coronavirus-Disease-2019-bagi-Lembaga-Jasa-Keuangan-Non-Bank.aspx,POJK tentang Kebijakan Countercyclical Dampak Penyebaran Coronavirus Disease 2019 bagi Lembaga Jasa Keuangan Nonbank.,14/POJK.05/2020,IKNB,"IKNB Syariah, Asuransi, Lembaga Pembiayaan, Lembaga Jasa Keuangan Khusus, Lembaga Keuangan Mikro",Peraturan OJK,2020,Success
Perubahan Atas Peraturan Otoritas Jasa Keuangan Nomor 38/POJK.03/2016 tentang Penerapan Manajemen Risiko dalam Penggunaan Teknologi Informasi oleh Bank Umum,/id/regulasi/Pages/tentang-Penerapan-Manajemen-Risiko-dalam-Penggunaan-Teknologi-Informasi-oleh-Bank-Umum.aspx,POJK tentang Perubahan Atas Peraturan Otoritas Jasa Keuangan Nomor 38/POJK.03/2016 tentang Penerapan Manajemen Risiko dalam Penggunaan Teknologi Informasi oleh Bank Umum.,13 /POJK.03/2020,Perbankan,Bank Umum,Peraturan OJK,2020,Success
Konsolidasi Bank Umum,/id/regulasi/Pages/Konsolidasi-Bank-Umum.aspx,POJK tentang Konsolidasi Bank Umum.,12 /POJK.03/2020,Perbankan,Bank Umum,Peraturan OJK,2020,Success
Stimulus Perekonomian Nasional Sebagai Kebijakan Countercyclical Dampak Penyebaran Coronavirus Disease 2019,/id/regulasi/Pages/Stimulus-Perekonomian-Nasional-Sebagai-Kebijakan-Countercyclical-Dampak-Penyebaran-Coronavirus-Disease-2019.aspx,POJK tentang Stimulus Perekonomian Nasional Sebagai Kebijakan Countercyclical Dampak Penyebaran Coronavirus Disease 2019.,11/POJK.03/2020,Perbankan,"Bank Umum, Perbankan Syariah",Peraturan OJK,2020,Success
Kondisi Lain Sebagai Kondisi Pasar yang Berfluktuasi Secara Signifikan dalam Pelaksanaan Pembelian Kembali Saham yang Dikeluarkan oleh Emiten atau Perusahaan Publik,/id/regulasi/Pages/Kondisi-Lain-Sebagai-Kondisi-Pasar-yang-Berfluktuasi-Secara-Signifikan-dalam-Pelaksanaan-Pembelian-Kembali-Saham.aspx,SEOJK tentang  Kondisi Lain Sebagai Kondisi Pasar yang Berfluktuasi Secara Signifikan dalam Pelaksanaan Pembelian kembali Saham yang Dikeluarkan oleh Emiten atau Perusahaan Publik.,3/SEOJK.04/2020,Pasar Modal,Bursa Efek,Surat Edaran OJK,2020,Success
Laporan Biro Administrasi Efek atau Emiten dan Perusahaan Publik yang Menyelenggarakan Administrasi Efek Sendiri,/id/regulasi/Pages/Laporan-Biro-Administrasi-Efek-atau-Emiten-dan-Perusahaan-Publik-yang-Menyelenggarakan-Administrasi-Efek-Sendiri.aspx,POJK tentang Laporan Biro Administrasi Efek atau Emiten dan Perusahaan Publik yang Menyelenggarakan Administrasi Efek Sendiri.,10 /POJK.04/2020,Pasar Modal,"Bursa Efek, Emiten dan Perusahaan Publik",Peraturan OJK,2020,Success
Perizinan Biro Administrasi Efek,/id/regulasi/Pages/Perizinan-Biro-Administrasi-Efek.aspx,POJK tentang Perizinan Biro Administrasi Efek.,9 /POJK.04/2020,Pasar Modal,Bursa Efek,Peraturan OJK,2020,Success
Penerbitan Foreign Depositary Receipts,/id/regulasi/Pages/Penerbitan-Foreign-Depositary-Receipts.aspx,POJK tentang Penerbitan Foreign Depositary Receipts.,8 /POJK.04/2020,Pasar Modal,"Bursa Efek, Emiten dan Perusahaan Publik",Peraturan OJK,2020,Success
Penawaran Umum Efek Bersifat Utang dan/atau Sukuk dalam Denominasi Mata Uang Selain Rupiah,/id/regulasi/Pages/Penawaran-Umum-Efek-Bersifat-Utang-dan-atau-Sukuk-Dalam-Denominasi-Mata-Uang-Selain-Rupiah.aspx,POJK tentang Penawaran Umum Efek Bersifat Utang dan/atau Sukuk dalam Denominasi Mata Uang Selain Rupiah.,7 /POJK.04/2020,Pasar Modal,Bursa Efek,Peraturan OJK,2020,Success
Penawaran Umum Sertifikat Penitipan Efek Indonesia,/id/regulasi/Pages/Penawaran-Umum-Sertifikat-Penitipan-Efek-Indonesia.aspx,POJK entang Penawaran Umum Sertifikat Penitipan Efek Indonesia.,6 /POJK.04/2020,Pasar Modal,Bursa Efek,Peraturan OJK,2020,Success
Pembuatan Nomor Tunggal Identitas Pemodal pada Lembaga Penyimpanan dan Penyelesaian oleh Biro Administrasi Efek atau Emiten dan Perusahaan Publik yang Menyelenggarakan Administrasi Efek Sendiri ,/id/regulasi/Pages/Pembuatan-Nomor-Tunggal-Identitas-Pemodal-pada-Lembaga-Penyimpanan-dan-Penyelesaian-oleh-Biro-Administrasi-Efek-.aspx,POJK tentang Pembuatan Nomor Tunggal Identitas Pemodal pada Lembaga Penyimpanan dan Penyelesaian oleh Biro Administrasi Efek atau Emiten dan Perusahaan Publik yang Menyelenggarakan Administrasi Efek Sendiri.,5 /POJK.04/2020,Pasar Modal,"Bursa Efek, Lembaga Penyimpanan dan Penyelesaian, Perusahaan Efek",Peraturan OJK,2020,Success
Perilaku Perusahaan Efek yang Melakukan Kegiatan Usaha Sebagai Penjamin Emisi Efek ,/id/regulasi/Pages/Perilaku-Perusahaan-Efek-yang-Melakukan-Kegiatan-Usaha-Sebagai-Penjamin-Emisi-Efek-.aspx,POJK tentang Perilaku Perusahaan Efek yang Melakukan Kegiatan Usaha Sebagai Penjamin Emisi Efek.,4 /POJK.04/2020,Pasar Modal,Bursa Efek,Peraturan OJK,2020,Success
Perilaku Perusahaan Efek yang Melakukan Kegiatan Usaha Sebagai Perantara Pedagang Efek ,/id/regulasi/Pages/Perilaku-Perusahaan-Efek-yang-Melakukan-Kegiatan-Usaha-Sebagai-Perantara-Pedagang-Efek-.aspx,POJK tentang Perilaku Perusahaan Efek yang Melakukan Kegiatan Usaha Sebagai Perantara Pedagang Efek.,3 /POJK.04/2020,Pasar Modal,Bursa Efek,Peraturan OJK,2020,Success
 Penilaian Kemampuan dan Kepatutan Bagi Calon Pihak Utama Manajer Investasi dan Penasihat Investasi,/id/regulasi/Pages/-Penilaian-Kemampuan-dan-Kepatutan-Bagi-Calon-Pihak-Utama-Manajer-Investasi-dan-Penasihat-Investasi.aspx,SEOJK tentang Penilaian Kemampuan dan Kepatutan Bagi Calon Pihak Utama Manajer Investasi dan Penasihat Investasi.,2/SEOJK.04/2020,Pasar Modal,Penasehat Investasi,Surat Edaran OJK,2020,Success
Tata Cara Penyampaian Surat atau Bukti Konfirmasi dan Laporan Berkala Reksa Dana Secara Elektronik Melalui Sistem Pengelolaan Investasi Terpadu,/id/regulasi/Pages/Tata-Cara-Penyampaian-Surat-atau-Bukti-Konfirmasi-dan-Laporan-Berkala-Reksa-Dana-Secara-Elektronik-Melalui-Sistem-Pengelola.aspx,SEOJK tentang Tata Cara Penyampaian Surat atau Bukti Konfirmasi dan Laporan Berkala Reksa Dana Secara Elektronik Melalui Sistem Pengelolaan Investasi Terpadu.,1/SEOJK.04/2020,Pasar Modal,Reksa Dana,Surat Edaran OJK,2020,Success
Perubahan Atas Peraturan Otoritas Jasa Keuangan Nomor 23/POJK.04/2016 tentang Reksa Dana Berbentuk Kontrak Investasi Kolektif,/id/regulasi/Pages/Perubahan-Atas-Peraturan-Otoritas-Jasa-Keuangan-Nomor-23-tentang-Reksa-Dana-Berbentuk-Kontrak-Investasi-.aspx,POJK tentang Perubahan Atas Peraturan Otoritas Jasa Keuangan Nomor 23/POJK.04/2016 tentang Reksa Dana Berbentuk Kontrak Investasi Kolektif.,2 /POJK.04/2020,Pasar Modal,Reksa Dana,Peraturan OJK,2020,Success
Penyusunan Laporan Keuangan Perusahaan Efek,/id/regulasi/Pages/Penyusunan-Laporan-Keuangan-Perusahaan-Efek.aspx,POJK tentang Penyusunan Laporan Keuangan Perusahaan Efek.,1/POJK.04/2020,Pasar Modal,Perusahaan Efek,Peraturan OJK,2020,Success
Perubahan Atas Peraturan Otoritas Jasa Keuangan Nomor 73/POJK.05/2016 tentang Tata Kelola Perusahaan yang Baik bagi Perusahaan Perasuransian,/id/regulasi/Pages/Perubahan-Atas-Peraturan-Otoritas-Jasa-Keuangan-Nomor-73-tentang-Tata-Kelola-Perusahaan-yang-Baik-bagi-Perusah.aspx,POJK  tentang Tata Kelola Perusahaan yang Baik bagi Perusahaan Perasuransian.,43/POJK.05/2019,IKNB,Asuransi,Peraturan OJK,2019,Success
Peraturan Otoritas Jasa Keuangan Nomor 44/POJK.05/2019 tentang Perubahan Atas Peraturan Otoritas Jasa Keuangan Nomor 41/POJK.05/2015 tentang Tata Cara Penetapan Pengelola Statuter pada Lembaga Jasa Keuangan,/id/regulasi/Pages/Tata-Cara-Penetapan-Pengelola-Statuter-pada-Lembaga-Jasa-Keuangan.aspx,POJK tentang Tata Cara Penetapan Pengelola Statuter pada Lembaga Jasa Keuangan.,44 /POJK.05/2019,IKNB,IKNB Syariah,Peraturan OJK,2019,Success
Lembaga Pengelola Informasi Perkreditan,/id/regulasi/Pages/Lembaga-Pengelola-Informasi-Perkreditan.aspx,POJK tentang Lembaga Pengelola Informasi Perkreditan.,42 /POJK.03/2019,Perbankan,Bank Umum,Peraturan OJK,2019,Success
Laporan Tahunan dan Laporan Keuangan Publikasi Bank Pembiayaan Rakyat Syariah,/id/regulasi/Pages/Laporan-Tahunan-dan-Laporan-Keuangan-Publikasi-Bank-Pembiayaan-Rakyat-Syariah.aspx,SEOJK tentang Laporan Tahunan dan Laporan Keuangan Publikasi Bank Pembiayaan Rakyat Syariah.,30/SEOJK.03/2019,Perbankan,Bank Umum,Surat Edaran OJK,2019,Success
"Penggabungan, Peleburan, Pengambilalihan, Integrasi, dan Konversi Bank Umum","/id/regulasi/Pages/Penggabungan,-Peleburan,-Pengambilalihan,-Integrasi,--dan-Konversi-Bank-Umum.aspx","POJK tentang Penggabungan, Peleburan, Pengambilalihan, Integrasi, dan Konversi Bank Umum.",41/POJK.03/2019,Perbankan,Bank Umum,Peraturan OJK,2019,Success
Transparansi dan Publikasi Laporan Bank,/id/regulasi/Pages/Transparansi-dan-Publikasi-Laporan-Bank.aspx,POJK tentang Transparansi dan Publikasi Laporan Bank.,37/POJK.03/2019,Perbankan,Bank Umum,Peraturan OJK,2019,Success
